tal shaghal	Shaghāl	False	116072	116073	LATIN	LATIN	IR	IR
Tahānah-ye Mākakī	تهانه ماککی	True	1436275	1436275	LATIN	ARABIC	AF	AF
Val'vin'er	Vaudavents	False	6425874	6425876	LATIN	LATIN	FR	FR
Yeni Daskand	Yeni Daşkənd	True	824052	824052	LATIN	LATIN	AZ	AZ
Ake Gojamu	Tanjung Goyamadu	False	1643801	1643802	LATIN	LATIN	ID	ID
Bibyeonggol	bibyeong-gol	True	1839184	1839184	LATIN	LATIN	KR	KR
Bol’shaya Inya	Ozero Bol'shaya Indra	False	1509754	1509755	LATIN	LATIN	RU	RU
ce bu nong	测部弄	True	9088743	9088743	LATIN	CJK	CN	CN
كوه سريجان	سپارده	False	9924	9925	ARABIC	ARABIC	IR	IR
Khodzhaab	Khwājah Āb	True	1136338	1136338	LATIN	LATIN	AF	AF
Breme	بريمن	False	2944387	2944388	LATIN	ARABIC	DE	DE
gwan-yangjunghaggyo	관양중학교	True	6572374	6572374	LATIN	CJK	KR	KR
Зяркин	Станция Фридман	False	6422828	6422830	CYRILLIC	CYRILLIC	RU	RU
Huai I Kang	hwy xi kang	True	7788683	7788683	LATIN	LATIN	TH	TH
Store Egeroy	Litla Fugloyna	False	9063922	9063927	LATIN	LATIN	NO	NO
sabil de Mohammad Katkhoda	sabīl Muḥammad katkhudā mustaḥfiẓān	True	8618016	8618016	LATIN	LATIN	EG	EG
Dobroplësy	Dabramysli	False	629029	629030	LATIN	LATIN	BY	BY
Hondok ir Rummien	Hondok il Rummien	True	2562441	2562441	LATIN	LATIN	MT	MT
Ban Nong Phikun	บ้านโป่งขาม	False	8387094	8387095	LATIN	THAI	TH	TH
บ้านพูลทรัพย์	ban phul thraphy	True	9198571	9198571	THAI	LATIN	TH	TH
Sinna Wanarajah	South Pundaloya	False	1227615	1227616	LATIN	LATIN	LK	LK
Krymzarajkino	Krymzaraykino	True	540242	540242	LATIN	LATIN	RU	RU
Leont'yevskoye	Darkushkazmaljar	False	828043	828044	LATIN	LATIN	RU	RU
Nijūkugō	higashino	True	2130098	2130098	LATIN	LATIN	JP	JP
Bashqāl Rawand	jwnan	False	445688	445690	LATIN	LATIN	IQ	IQ
sai li ye er	Ser'e	True	6427660	6427660	LATIN	LATIN	FR	FR
hachioujimachi	南熊本	False	11209867	11209868	LATIN	CJK	JP	JP
Shuang-tung-hsiang	Shuangdongciang	True	6649129	6649129	LATIN	LATIN	TW	TW
misasagieki	Kurama-eki	False	7560926	7560927	LATIN	LATIN	JP	JP
Al Waqīd	Al-Wužîd	True	108768	108768	LATIN	LATIN	SA	SA
Ostrov Zelenets	Pristan’ Glinyanyy Mys	False	8253051	8253052	LATIN	LATIN	RU	RU
Guidong	gui dong	True	9941123	9941123	LATIN	LATIN	CN	CN
Rudaih	Jabal Mahdad	False	71425	71428	LATIN	LATIN	YE	YE
Askilan	Askılan	True	441336	441336	LATIN	LATIN	TR	TR
jian guo san cun	Chien-kuo I-ts'un	False	1678501	1678502	LATIN	LATIN	TW	TW
Vengruvas	Wegrow	True	7532693	7532693	LATIN	LATIN	PL	PL
Lotat	"Lar""yegan"	False	1500841	1500843	LATIN	LATIN	RU	RU
段家湾	duan jia wan	True	10158737	10158737	CJK	LATIN	CN	CN
guan zhuang	yang geng nong chang	False	8227491	8227492	LATIN	LATIN	CN	CN
Maech'on-ni	Maech’on-ni	True	1867348	1867348	LATIN	LATIN	KP	KP
Jaltur	Jalrayz	False	1139682	1139683	LATIN	LATIN	AF	AF
Uspenje	Uspen'ye	True	478172	478172	LATIN	LATIN	RU	RU
qiao xia	chen jia ju	False	7644362	7644363	LATIN	LATIN	CN	CN
بير معمر	Bi'r Mu'ammar	True	7789637	7789637	ARABIC	LATIN	YE	YE
Chihil Kapah-ye Larkhaw	Cehel Kand	False	1145165	1145166	LATIN	LATIN	AF	AF
Ukelat	Ukelayat	True	2125984	2125984	LATIN	LATIN	RU	RU
Dolgij Kljuch	Ostrov Dolgiy	False	1507302	1507304	LATIN	LATIN	RU	RU
Новая Деревня	Novaja Derevnja	True	7512601	7512601	CYRILLIC	LATIN	RU	RU
عين البيضة	عين البيضاء	False	172243	172244	ARABIC	ARABIC	SY	SY
Talahao Xiang	ta la hao	True	8648819	8648819	LATIN	LATIN	CN	CN
Ra’s Sharbathāt	Sharbithat	False	286459	286460	LATIN	LATIN	OM	OM
Yurty Ozernyye	Ust-Ozernoje	True	1488121	1488121	LATIN	LATIN	RU	RU
Sandaogou	Dongshichang	False	7915692	7915693	LATIN	LATIN	CN	CN
Caserio Montgrony	Montgrony	True	3116291	3116291	LATIN	LATIN	ES	ES
Daman	평촌교	False	11175011	11175012	LATIN	CJK	KR	KR
Afonas'evskij	Afonasievskij	True	1512131	1512131	LATIN	LATIN	RU	RU
Baegunsa	duninsil	False	6888756	6888757	LATIN	LATIN	KR	KR
Schönwalde	Schonwalde	True	2836447	2836447	LATIN	LATIN	DE	DE
猿ヶ平	Komori Kōgen Bokujō	False	8553622	8553640	CJK	LATIN	JP	JP
Al Ḩawwī	Al Hawwi	True	8020556	8020556	LATIN	LATIN	YE	YE
Egriqayeh	aystgah snkhwast	False	6340	6341	LATIN	LATIN	IR	IR
الجنوبية	Al Janubiyah	True	11058136	11058136	ARABIC	LATIN	YE	YE
ذرميتان	glk	False	406171	406172	ARABIC	LATIN	IR	IR
پاسگاه مرزی قلقه	Pasgah-e Marzi-ye Qolqohe	True	6709496	6709496	ARABIC	LATIN	IR	IR
Mazra`eh-i-`Askar	Mazra`eh-i-Agha	False	67521	67522	LATIN	LATIN	IR	IR
Mazra‘at al Ḩanafīyah	Mazraat el Hannfîyé	True	166961	166961	LATIN	LATIN	SY	SY
ban san sli	ban hx ngk xm wng	False	8218521	8218522	LATIN	LATIN	TH	TH
Appennino Settentrionale	Appennini Settentrionale	True	3182970	3182970	LATIN	LATIN	IT	IT
Роятин	Starij Poric'k	False	8424043	8424459	CYRILLIC	LATIN	UA	UA
Emamzadeh Mohammad-e Masih	amamzadh mhmd msyh	True	7453946	7453946	LATIN	LATIN	IR	IR
Jar-e Zāghak	Tūp-e Sorkh	False	1447545	1447546	LATIN	LATIN	AF	AF
บ้านทรายขาว	Ban Sai Khao	True	8272314	8272314	THAI	LATIN	TH	TH
Bajenapukhar	Bāje Mazkur	False	1211575	1211576	LATIN	LATIN	BD	BD
Grodzisko Dolne	Gmina Grodzis'ko-Dol'ne	True	7532782	7532782	LATIN	LATIN	PL	PL
هولستون	اسبه نه	False	6744369	6744370	ARABIC	ARABIC	IR	IR
Gross Dembowitz	Dębowiec	True	773314	773314	LATIN	LATIN	PL	PL
Euni	Deungchon	False	6398866	6398867	LATIN	LATIN	KR	KR
کوه کينه چاه بید	Kūh-e Kīneh Chāh Bīd	True	6519	6519	ARABIC	LATIN	IR	IR
Lāmlang	Lamsak	False	39508	39509	LATIN	LATIN	IR	IR
Paso Limon	Rio Paso Limon	True	3823629	3823629	LATIN	LATIN	MX	MX
rongreiyn ban ta sea henux	Matsayit Nu Run Mut Ta Kim	False	7000596	7000597	LATIN	LATIN	TH	TH
Cavaco	Rio Chicotucuto	True	3350183	3350183	LATIN	LATIN	AO	AO
Sovkhoz Komsomolets	Posiolok Opytnyj	False	6607353	6607359	LATIN	LATIN	RU	RU
Jorf	Uad Atui	True	2381307	2381307	LATIN	LATIN	MR	MR
jia gou	Shengou	False	1548876	1548877	LATIN	LATIN	CN	CN
Okolovo	Акалова	True	624214	624214	LATIN	CYRILLIC	BY	BY
mao jia	Shagou	False	9938873	9938874	LATIN	LATIN	CN	CN
Rassegurjakka	Rássegurjohka	True	9791436	9791436	LATIN	LATIN	NO	NO
Ras Buur Gaabo	Bircao	False	63578	63579	LATIN	LATIN	SO	SO
Яровское	Yarovskoye	True	1486332	1486332	CYRILLIC	LATIN	RU	RU
Xiaojinping	ling tou zi	False	7787309	7787310	LATIN	LATIN	CN	CN
문혜초등학교	Munhyechodeunghakgyo	True	9866120	9866120	CJK	LATIN	KR	KR
Ban Nammèng	Ban Nammen	False	1661509	1661510	LATIN	LATIN	LA	LA
Jabal `Akkar	Akka	True	280573	280573	LATIN	LATIN	LB	LB
an ma	jiang xian	False	9925400	9925401	LATIN	LATIN	CN	CN
Darbār Ghunḏêy	دربار غنډۍ	True	1476924	1476924	LATIN	ARABIC	AF	AF
Ar Rabiyah	Askan al Mina'	False	7031378	7031379	LATIN	LATIN	JO	JO
yan li jia	严李家	True	8266412	8266412	LATIN	CJK	CN	CN
Pryamoy	Osetinskij	False	6419538	6419547	LATIN	LATIN	RU	RU
Davvejakka,l	Lille Davvejohka	True	9791566	9791566	LATIN	LATIN	NO	NO
Dacaotan	san shi cun	False	7343353	7343354	LATIN	LATIN	CN	CN
Bi’r Bū Qīlah	Bir Bu Ghila	True	2218170	2218170	LATIN	LATIN	LY	LY
tong le	Chaoyang	False	8464416	8464417	LATIN	LATIN	CN	CN
Маженай	Mazhenaj	True	597180	597180	CYRILLIC	LATIN	LT	LT
zrd pshth	drh asylh	False	8453372	8453373	LATIN	LATIN	IR	IR
Maḩaţţat Ḑakhkh Adīd	Mahattat Dakhkh Adid	True	7374966	7374966	LATIN	LATIN	IQ	IQ
پهنه بر	پَهنوَر	False	121654	121655	ARABIC	ARABIC	IR	IR
Novo-Vladimirovka	Volodimirivka	True	689390	689390	LATIN	LATIN	UA	UA
Hajjiabad	کوه ارچن	False	7052756	7052757	LATIN	ARABIC	IR	IR
Majatas	Mayatas	True	1520950	1520950	LATIN	LATIN	KZ	KZ
Nūr Dulāl	Noor Bozdar	False	1168820	1168823	LATIN	LATIN	PK	PK
aiseru chuan	Isala	True	2753367	2753367	LATIN	LATIN	NL	NL
Il'yetkhura	Гиткоюлин	False	2125561	2125562	LATIN	CYRILLIC	RU	RU
ju xiong	Juxiong	True	7639867	7639867	LATIN	LATIN	CN	CN
Phum Don You	Phum Dâun Yây	False	1828434	1828435	LATIN	LATIN	KH	KH
Shangyao Xiang	shang yao	True	8623560	8623560	LATIN	LATIN	CN	CN
yong xi	Zhongbei	False	7843796	7843797	LATIN	LATIN	CN	CN
rwdkhanh tng lwlayy	Rūdkhāneh-ye Tang-e Lūlā’ī	True	8313767	8313767	LATIN	LATIN	IR	IR
Zīāratgāh-e Seyyed Aḩmad	Cheshmeh-ye Chāy Bolāghī	False	8717875	8717876	LATIN	LATIN	IR	IR
王家咀	Wangjiazui	True	7655783	7655783	CJK	LATIN	CN	CN
Mokhakhes	Majane	False	932590	932597	LATIN	LATIN	LS	LS
rongreiyn wad khlxng thrrm	โรงเรียนวัดคลองธรรม	True	8344584	8344584	LATIN	THAI	TH	TH
Cacheo River	Calhaquê	False	2374310	2374315	LATIN	LATIN	GW	GW
Banados de Chadileufu	Bañados del Chadileuvú	True	3861858	3861858	LATIN	LATIN	AR	AR
Huangya	xu tuan zhuang	False	9133380	9133381	LATIN	LATIN	CN	CN
Huai Makham	hwy makham	True	7075384	7075384	LATIN	LATIN	TH	TH
سنگ کار	سنگان وسط	False	117541	117542	ARABIC	ARABIC	IR	IR
دره فرفری	Darreh-ye Farfarī	True	8595373	8595373	ARABIC	LATIN	IR	IR
Curlin	Široka Padina	False	8548542	8548543	LATIN	LATIN	MK	MK
Bjorneskjer	Bjørneskjaer	True	3257961	3257961	LATIN	LATIN	NO	NO
Дом Инвалидов	Rinovskiy	False	7750388	7750389	CYRILLIC	LATIN	RU	RU
Sarvazal	Sărvăzăl	True	667942	667942	LATIN	LATIN	RO	RO
บ้านโนนไม้งาม	บ้านโนนงูเหลือม	False	9109059	9109060	THAI	THAI	TH	TH
Vak'sajav'ri	Vaksajavrre	True	777054	777054	LATIN	LATIN	NO	NO
Qarn el Qoumqoûm	Aïn Qoumqoûm	False	165709	165710	LATIN	LATIN	SY	SY
Sel’mash	Сельмаш	True	1540874	1540874	LATIN	CYRILLIC	RU	RU
小户弄	li jia zhai	False	9939571	9939572	CJK	LATIN	CN	CN
Siashuangsi	Hsia-shuang-hsi	True	1675478	1675478	LATIN	LATIN	TW	TW
wad kæw canthraram	wad khoksarong	False	9198731	9198732	LATIN	LATIN	TH	TH
Yıldız	Yıldızköy	True	296716	296716	LATIN	LATIN	TR	TR
Хайроваям	Аюливаям	False	2116496	2116498	CYRILLIC	CYRILLIC	RU	RU
Quebrada La Gomez	Quebrada Gomez	True	8261768	8261768	LATIN	LATIN	CO	CO
Серебрено	Kudryavka	False	7610917	7610918	CYRILLIC	LATIN	RU	RU
บ้านวังยาว สอง	Ban Wang Yao Song	True	8205461	8205461	THAI	LATIN	TH	TH
土车沟	西砂湖	False	10373064	10373065	CJK	CJK	CN	CN
Rio Camaquã Chico	Rio Camaquã	True	3468012	3468012	LATIN	LATIN	BR	BR
Beuzec-Conq-Bourg	bo ze ke ka xi zan	False	3032897	3032898	LATIN	LATIN	FR	FR
غور آباد	Ghōṟābāḏ	True	1472971	1472971	ARABIC	LATIN	AF	AF
rui ling tai	Tangjiazui	False	10324048	10324049	LATIN	LATIN	CN	CN
Ziaïna	Ziarna	True	2525984	2525984	LATIN	LATIN	MA	MA
mang jian	guang dong	False	9987061	9987062	LATIN	LATIN	CN	CN
Углы Вторые	Ugly Vtorye	True	8539439	8539439	CYRILLIC	LATIN	BY	BY
huang jia jing shui ku	卅八都	False	7065533	7065534	LATIN	CJK	CN	CN
周岗子	zhou gang zi	True	9120540	9120540	CJK	LATIN	CN	CN
장승개	Changsungch'on	False	1846348	1846349	CJK	LATIN	KR	KR
Himematsu-eki	ひめまつえき	True	7560228	7560228	LATIN	CJK	JP	JP
Lleyn Peninsula	Lanurtid Uels	False	2643887	2643905	LATIN	LATIN	GB	GB
shrkt srmk	Sherkat-e Sarmak	True	7407004	7407004	LATIN	LATIN	IR	IR
Al `Ubayd	Aradi Abu `Arab	False	6735817	6735818	LATIN	LATIN	IQ	IQ
Qaryat ad Dahlikiyah	قريةالدهلكية	True	6835556	6835556	LATIN	ARABIC	IQ	IQ
Kūh-e Chāh Derāz	Īstgāh-e Jenerāl	False	6981174	6981175	LATIN	LATIN	IR	IR
دشت جهنم	Dašte Jahanum	True	1139744	1139744	ARABIC	LATIN	AF	AF
Tawi	Tawa	False	1254828	1254829	LATIN	LATIN	IN	IN
Gusevo rajonas	Гусевский Район	True	557841	557841	LATIN	CYRILLIC	RU	RU
Kozinka	Kozina	False	1502240	1502241	LATIN	LATIN	RU	RU
Hawtah	Hauta	True	109618	109618	LATIN	LATIN	SA	SA
Frostlokkja	Kåsløkkja	False	9432366	9432392	LATIN	LATIN	NO	NO
Darreh-ye Maryamī	Darreh-ye Maryami	True	8439187	8439187	LATIN	LATIN	IR	IR
Ploche	Nivista	False	8695439	8695440	LATIN	LATIN	MK	MK
สำนักสงฆ์วัดป่าเจริญธรรม	Samnaksong Wat Pa Charoen Tham	True	8460481	8460481	THAI	LATIN	TH	TH
Saint-Sauveur-Lalande	Sent Trian	False	6429620	6429626	LATIN	LATIN	FR	FR
zhao jia po	赵家坡	True	7519671	7519671	LATIN	CJK	CN	CN
Suja Ahmad	مستان خونې	False	1435719	1435720	LATIN	ARABIC	AF	AF
Shamma	Shammā	True	420867	420867	LATIN	LATIN	SY	SY
hou nei yi	Ikeda-eki	False	7547827	7547828	LATIN	LATIN	JP	JP
Huangxing	huang xing	True	9901500	9901500	LATIN	LATIN	CN	CN
Брокен Ароу	Броукэн Боу	False	4531405	4531414	CYRILLIC	CYRILLIC	US	US
Val'floriana	Comune di Valfloriana	True	6542643	6542643	LATIN	LATIN	IT	IT
Omnåssætra	Berdalssaetra	False	9833805	9833807	LATIN	LATIN	NO	NO
Lianghe	liang he zhen	True	10260195	10260195	LATIN	LATIN	CN	CN
Malianwan	lu jia gou	False	10429597	10429598	LATIN	LATIN	CN	CN
Zak	Zak Rivier	True	958202	958202	LATIN	LATIN	ZA	ZA
Andornaktálya Felső Vasúti Megállóhely	Kis Andaháza-puszta	False	722871	722874	LATIN	LATIN	HU	HU
Άκρα Πούντα	Akra Pounda	True	254775	254775	GREEK	LATIN	GR	GR
rongreiyn ban sra krwd	Rongrian Ban Thung Setthi	False	8565774	8565775	LATIN	LATIN	TH	TH
Jizibu	ji zi bu	True	8651776	8651776	LATIN	LATIN	CN	CN
Mowu	麻利坡	False	10036050	10036051	LATIN	CJK	CN	CN
Qal`ah-ye Nuh Burjah	Nohborjeh	True	1469294	1469294	LATIN	LATIN	AF	AF
Mingkou Zhen	Mingjiaosi	False	1800508	1800509	LATIN	LATIN	CN	CN
hua qing	Huaqing	True	10944065	10944065	LATIN	LATIN	CN	CN
drh anjyr	Kūh-e Lam Dar	False	8367127	8367128	LATIN	LATIN	IR	IR
Ain el Ghouaibe	Aïn el Ghouaïbé	True	8622002	8622002	LATIN	LATIN	LB	LB
Dongshan	水口里	False	7065120	7065121	LATIN	CJK	CN	CN
Qanāt at Tūnīyah	قناة التونية	True	6739238	6739238	LATIN	ARABIC	IQ	IQ
Osawano-cho	Ōsawa-dake	False	1853828	1853829	LATIN	LATIN	JP	JP
Πλατανάκια	Platanákia	True	734590	734590	GREEK	LATIN	GR	GR
Qā‘at ash Sharaf	Immigration and Passport Building	False	8506651	8506652	LATIN	LATIN	SY	SY
Durgótanya	Durkotanya	True	3053425	3053425	LATIN	LATIN	HU	HU
Dragsjøn	Dragsjoen	False	2717305	2717306	LATIN	LATIN	SE	SE
Saṟsabīl	سر سبيل	True	1126843	1126843	LATIN	ARABIC	AF	AF
Wat Ban Hua Bo	wad ban ma heluxm	False	8682556	8682557	LATIN	LATIN	TH	TH
Nādī Shabāb al ‘Aqabah	نادي شباب العقبة	True	11191555	11191555	LATIN	ARABIC	JO	JO
چشمه دزدان	کوه بکندی	False	9640403	9640404	ARABIC	ARABIC	IR	IR
Jakimovichi	Yakimovichi	True	8282180	8282180	LATIN	LATIN	BY	BY
shah mrad	dh gmy	False	7075713	7075714	LATIN	LATIN	IR	IR
Taghaneh Tork	Ţaghāneh Tork	True	6899792	6899792	LATIN	LATIN	IR	IR
شاهزاده احمد مختار	امامزاده جعفر	False	7635758	7635759	ARABIC	ARABIC	IR	IR
Jianziping	剪子坪	True	7373019	7373019	LATIN	CJK	CN	CN
Siyah Qarqaran	Suzanli	False	6657428	6657429	LATIN	LATIN	IR	IR
Puerto Berrío	پورتو برریو	True	3671541	3671541	LATIN	ARABIC	CO	CO
Khlong Bang Prong	Khlong Bamron	False	7925847	7925848	LATIN	LATIN	TH	TH
Mo'nes	mwns	True	123079	123079	LATIN	LATIN	IR	IR
クレモザーノ	fiesuko	False	6543217	6543218	CJK	LATIN	IT	IT
Hou-kao-t'un	hou gao tou	True	2045539	2045539	LATIN	LATIN	CN	CN
دِرياس	Tekānlūjeh	False	410450	410456	ARABIC	LATIN	IR	IR
Rancheria Guazárachi	Guasarachic	True	4005128	4005128	LATIN	LATIN	MX	MX
Gājān Wāh	Mesh Kushi Nāla	False	7027633	7027638	LATIN	LATIN	PK	PK
Kōhe Awḏaṟā	Kōh-e Āb Darah	True	1449654	1449654	LATIN	LATIN	AF	AF
Sultandere Koyu	Sultandağı	False	300199	300201	LATIN	LATIN	TR	TR
Cheshmeh Lāleh	Cheshmeh Laleh	True	27640	27640	LATIN	LATIN	IR	IR
گزتک	گزیدری علیا	False	133706	133707	ARABIC	ARABIC	IR	IR
kwh bsrw	Kūh-e Basrū	True	141106	141106	LATIN	LATIN	IR	IR
Alekseevka	Aleksejevka	False	582909	582910	LATIN	LATIN	RU	RU
Хорошево	Khorosjevo	True	549480	549480	CYRILLIC	LATIN	RU	RU
El Aalali	Qurnat al ‘Alālah	False	280536	280537	LATIN	LATIN	LB	LB
Vorontsovka	Воронцовка	True	808229	808229	LATIN	CYRILLIC	RU	RU
Tordillo	T. Yofré	False	3427709	3427712	LATIN	LATIN	AR	AR
Durrān	Duran	True	1179426	1179426	LATIN	LATIN	PK	PK
Гордеевская	Бригада Номер Один Совхоза Золотой Колос	False	11135382	11135383	CYRILLIC	CYRILLIC	KZ	KZ
Tsurvena Yabulka	Curvena Jabulka	True	726205	726205	LATIN	LATIN	BG	BG
Suspiros Bay	Svart Mountain	False	6626304	6626317	LATIN	LATIN	AQ	AQ
Arake	huang mao	True	10208773	10208773	LATIN	LATIN	JP	JP
niu ji keng	zhang cheng	False	7741301	7741302	LATIN	LATIN	CN	CN
Taluskylä	Taluskylae	True	635013	635013	LATIN	LATIN	FI	FI
دینوج	Asbandī	False	7350721	7350722	ARABIC	LATIN	IR	IR
jing ben	Ibaramoto	True	9291851	9291851	LATIN	LATIN	JP	JP
Al Hakimah	`Alayan	False	7685412	7685413	LATIN	LATIN	YE	YE
Darreh-ye Avbar	Darreh-ye Āvbār	True	6709163	6709163	LATIN	LATIN	IR	IR
Аудекерк	Amsterdamgo errege-erreginen jauregia	False	6951692	6951693	CYRILLIC	LATIN	NL	NL
Zīārat	Deh Zeyārāt	True	1159269	1159269	LATIN	LATIN	IR	IR
Озеро Лужица	Glubokij	False	7610954	7610955	CYRILLIC	LATIN	RU	RU
دبستان سعادت آباد	Dabestān-e Sa‘ādatābād	True	11220681	11220681	ARABIC	LATIN	IR	IR
Mansurabad	Manşūrābād	False	124940	124941	LATIN	LATIN	IR	IR
mhmd almwsy	عرب محمد موسى	True	6837481	6837481	LATIN	ARABIC	IQ	IQ
Barbers	Barberkuil	False	1021090	1021097	LATIN	LATIN	ZA	ZA
Rūdkhāneh-ye Faşlī-ye Şāleḩī	رودخانه فصلی صالحی	True	11209639	11209639	LATIN	ARABIC	IR	IR
Sineh Turseki	Poshteh-ye `Ali Jamal	False	9815213	9815214	LATIN	LATIN	IR	IR
アサヒマチ	asahimachi	True	2130627	2130627	CJK	LATIN	JP	JP
Munskaja	Munosero	False	524444	524445	LATIN	LATIN	RU	RU
Caserío Carmona	Carmona	True	2520117	2520117	LATIN	LATIN	ES	ES
Ŏdun-dong	게네미	False	6799370	6799371	LATIN	CJK	KR	KR
中央陸橋	Chung-yang Lu-ch'iao	True	6747957	6747957	CJK	LATIN	TW	TW
Shīr Sorkh	Ziarat Khvajeh Morad	False	1454172	1454175	LATIN	LATIN	AF	AF
Al Maqbarah al Islamiyah al Jadidah	almqbrt alaslamyt aljdydt	True	8067736	8067736	LATIN	LATIN	PS	PS
Nowwala	Derawali	False	1411162	1411168	LATIN	LATIN	PK	PK
수구터	Sugut'o	True	6366492	6366492	CJK	LATIN	KP	KP
บ้านโนนสมบูรณ์	บ้านโนนสง่า	False	7748286	7748287	THAI	THAI	TH	TH
Ессіньї-ле-Гран	Эссиньи-ле-Гран	True	6424893	6424893	CYRILLIC	CYRILLIC	FR	FR
Ban Wang Pong	Sathani Anamai Ban Bo Bia	False	8137665	8137738	LATIN	LATIN	TH	TH
大沟门下	Dagoumenxia	True	7371109	7371109	CJK	LATIN	CN	CN
称佳湾	Jingli	False	8201370	8201379	CJK	LATIN	CN	CN
Ulgasuolluuh	Ulgâsuolluuh	True	10094541	10094541	LATIN	LATIN	FI	FI
Esḩāq	Ba‘īneh-ye Do	False	42443	42444	LATIN	LATIN	IR	IR
บ้านวังมะพลับ	ban wang maphlab	True	8652525	8652525	THAI	LATIN	TH	TH
Xianfeng	hou luan ni wa zi	False	7005644	7005645	LATIN	LATIN	CN	CN
Ri’aqiongmang Bule	ri a qiong mang bu lei	True	9090502	9090502	LATIN	LATIN	CN	CN
mou jia ping	lan gong ping	False	10680944	10680945	LATIN	LATIN	CN	CN
الذُّبَابَات	Jebel edh Dhababat	True	106968	106968	ARABIC	LATIN	SA	SA
hu jia yan	Fengshusun	False	7884426	7884427	LATIN	LATIN	CN	CN
Bulqize	Qyteti i Bulqizës	True	783509	783509	LATIN	LATIN	AL	AL
Jabal al Qaḩāţī	Wadi Qa`fur	False	247655	247657	LATIN	LATIN	JO	JO
Levoye Yashcherevo	Levoye Yashcherovo	True	535428	535428	LATIN	LATIN	RU	RU
Ǵeren	Краљев Рид	False	10337039	10337041	LATIN	CYRILLIC	MK	MK
丹沢山地	Tanzawa-sankai	True	1850624	1850624	CJK	LATIN	JP	JP
Derven Karia	Moschófyton	False	256748	256749	LATIN	LATIN	GR	GR
shi xi	Chengnan	True	1918839	1918839	LATIN	LATIN	CN	CN
msnʿ althlj	Tiles and Mosaic Factory	False	8512060	8512062	LATIN	LATIN	OM	OM
Ban Sang	บ้านสร้าง	True	1613389	1613389	LATIN	THAI	TH	TH
Sefīd Kamar	Qaşşāb	False	1410107	1410108	LATIN	LATIN	AF	AF
ban xu di	Ban U Rai	True	1154110	1154110	LATIN	LATIN	TH	TH
Raz”yezd Stroyka	Stroevskoe	False	487125	487126	LATIN	LATIN	RU	RU
El Conejo	El Consejo	True	3970916	3970916	LATIN	LATIN	MX	MX
Lu-li-la-lo Shan Hsi-feng	盧利拉駱山	False	6748731	6748732	LATIN	CJK	TW	TW
Шумная-ле-Сек	ノワジー＝ル＝セック	True	2990187	2990187	CYRILLIC	CJK	FR	FR
La-Roshett	La-Sel'-le-Bord	False	6456489	6456494	LATIN	LATIN	FR	FR
胡家洞	hu jia dong	True	1991108	1991108	CJK	LATIN	CN	CN
Shabīrān	Bi'r ash Shabib	False	164645	164646	LATIN	LATIN	SY	SY
teng jiu bao	fujikubo	True	8572370	8572370	LATIN	LATIN	JP	JP
Joubb el Oudeihi	jb alghsb	False	168958	168959	LATIN	LATIN	SY	SY
Lahbichat	Oulad Ben Aïcha	True	2550851	2550851	LATIN	LATIN	MA	MA
Dowlatkhānī Kārīz	Shīrjān Chīnah	False	1453639	1453640	LATIN	LATIN	AF	AF
Saytkan	sytkan	True	90657	90657	LATIN	LATIN	IQ	IQ
Kozul'ni	Kuzņecova	False	458371	458372	LATIN	LATIN	LV	LV
Подрядниково	Podrjadnikovo	True	508016	508016	CYRILLIC	LATIN	RU	RU
Kefl	الخوين	False	99137	99140	LATIN	ARABIC	IQ	IQ
Darah al Gharbi	Dara Gharbi	True	170902	170902	LATIN	LATIN	SY	SY
大陆塘	heng dong	False	6859822	6859823	CJK	LATIN	CN	CN
Takhtkūh-e Beyk	Takhtkohe Bēk	True	1123135	1123135	LATIN	LATIN	AF	AF
Zīārat-e Bābā Khvājeh	Zīāratgāh-e Amīr ol Mow’menīn	False	7011984	7011985	LATIN	LATIN	IR	IR
sh kanyan	Seh Kānīān	True	11008282	11008282	LATIN	LATIN	IR	IR
Forêt de Malpaire	Malons	False	2996350	2996356	LATIN	LATIN	FR	FR
Jiougang Daciao	Jiugang Daqiao	True	6600417	6600417	LATIN	LATIN	TW	TW
Oulad Sidi Tlil	Awlād Sīdī Talīl	False	2472944	2472945	LATIN	LATIN	TN	TN
上龙眼	Shanglongyan	True	10034547	10034547	CJK	LATIN	CN	CN
Bayramgulova	Bayrak	False	1510677	1510678	LATIN	LATIN	RU	RU
Gălbezeni	Galbezeni	True	670929	670929	LATIN	LATIN	RO	RO
xia lu jiang	Dazhujiao	False	9902866	9902867	LATIN	LATIN	CN	CN
Kyiva provinco	Obwód kijowski	True	703446	703446	LATIN	LATIN	UA	UA
Cañada Tabiyucua’a	Barranca Teaca’va	False	11214210	11214222	LATIN	LATIN	MX	MX
Абдуллабий	Abdullabij	True	1514733	1514733	CYRILLIC	LATIN	UZ	UZ
Rongrian Ban Chon Muang	rongreiyn bang ka phi pan leis withya	False	9198027	9198028	LATIN	LATIN	TH	TH
drbnd	Darband	True	31956	31956	LATIN	LATIN	IR	IR
kuang shan	qian zhang zhuang	False	7063446	7063447	LATIN	LATIN	CN	CN
شاه حسین ریگ	S̄āh Hosayn Ṟēg	True	1126020	1126020	ARABIC	LATIN	AF	AF
วัดพระเจ้าอุ้ย	Wat Sawang Malai Champa	False	8681469	8681470	THAI	LATIN	TH	TH
Sagiáda	Σαγιάδα	True	254041	254041	LATIN	GREEK	GR	GR
